date,Open,High,Low,Close,Volume_(BTC)
2013-04-03 12:30:00,133.0,135.268,131.95,134.28,447.66
2013-04-03 13:00:00,134.8,138.35,133.934,137.478,913.975
2013-04-03 13:30:00,139.42,139.5,137.0,138.606,1434.636
2013-04-03 14:00:00,137.6,138.7,134.02,134.02,233.532
2013-04-03 14:30:00,135.74,136.0,120.0,129.97,2779.575
2013-04-03 15:00:00,125.0,132.45,110.0,125.05,1619.72
2013-04-03 15:30:00,130.0,140.08,121.07,129.92,765.373
2013-04-03 16:00:00,130.0,130.0,126.1,126.1,155.477
2013-04-03 16:30:00,115.055,125.5,103.96,115.1,2571.267
2013-04-03 17:00:00,118.0,118.045,101.511,113.0,896.258
2013-04-03 17:30:00,114.0,127.0,114.0,123.0,1233.926
2013-04-03 18:00:00,122.992,126.8,114.68,123.0,465.765
2013-04-03 18:30:00,114.058,124.4,114.058,121.004,118.911
2013-04-03 19:00:00,124.0,131.206,121.616,128.653,571.271
2013-04-03 19:30:00,128.719,135.8,128.099,134.7,255.608
2013-04-03 20:00:00,134.717,135.0,128.0,133.807,885.44
2013-04-03 20:30:00,132.0,132.06,120.0,120.0,258.229
2013-04-03 21:00:00,126.729,128.006,122.0,128.006,121.911
2013-04-03 21:30:00,129.909,135.0,128.997,134.953,467.898
2013-04-03 22:00:00,131.78,131.78,125.149,127.6,243.661
2013-04-03 22:30:00,126.739,126.902,123.75,126.272,49.898
2013-04-03 23:00:00,124.001,124.014,119.6,122.068,990.842
2013-04-03 23:30:00,120.843,126.103,119.0,125.5,1032.72
2013-04-04 00:00:00,125.5,127.962,125.5,127.962,1062.263
2013-04-04 00:30:00,127.935,132.96,127.935,132.96,347.641
2013-04-04 01:00:00,132.793,132.793,127.75,129.011,314.285
2013-04-04 01:30:00,129.011,130.021,126.947,130.01,170.892
2013-04-04 02:00:00,130.0,132.947,129.975,130.019,18.737
2013-04-04 02:30:00,130.0,132.0,130.0,131.399,87.603
2013-04-04 03:00:00,131.19,132.028,131.19,131.594,9.485
2013-04-04 03:30:00,132.327,133.0,132.11,132.8,9.79
2013-04-04 04:00:00,132.33,132.33,131.594,131.594,0.246
2013-04-04 04:30:00,130.571,133.0,130.561,133.0,22.05
2013-04-04 05:00:00,134.0,134.99,133.976,133.996,129.832
2013-04-04 06:00:00,136.0,136.0,131.99,132.114,635.53
2013-04-04 06:30:00,132.787,133.504,132.787,133.49,164.947
2013-04-04 07:00:00,133.702,133.702,133.702,133.702,0.245
2013-04-04 07:30:00,134.029,138.63,134.029,137.06,457.871
2013-04-04 08:00:00,138.63,138.63,135.986,137.984,77.662
2013-04-04 08:30:00,137.94,143.0,137.0,140.501,1803.045
2013-04-04 09:00:00,140.05,140.5,138.5,138.5,385.02
2013-04-04 09:30:00,139.438,139.501,136.091,136.091,785.786
2013-04-04 10:00:00,137.071,137.5,134.484,135.0,267.393
2013-04-04 10:30:00,134.481,136.418,133.51,133.51,215.143
2013-04-04 11:00:00,132.788,136.5,132.1,136.5,660.255
2013-04-04 11:30:00,135.597,136.026,134.875,135.0,408.663
2013-04-04 12:00:00,135.0,135.0,133.881,134.526,116.04
2013-04-04 12:30:00,133.497,135.002,133.378,134.502,161.785
2013-04-04 13:00:00,135.0,135.4,128.0,130.01,1196.171
2013-04-04 13:30:00,130.01,131.891,128.508,131.891,1132.33
2013-04-04 14:00:00,132.261,133.0,131.579,132.859,222.902
2013-04-04 14:30:00,132.699,132.699,131.42,132.482,12.25
2013-04-04 15:00:00,133.899,134.238,133.0,134.006,58.228
2013-04-04 15:30:00,132.1,133.065,131.502,131.989,61.43
2013-04-04 16:00:00,132.503,134.7,132.431,134.45,228.989
2013-04-04 16:30:00,133.701,136.7,131.817,134.828,426.348
2013-04-04 17:30:00,133.999,134.196,132.999,134.12,40.569
2013-04-04 18:00:00,134.12,134.12,131.501,131.508,256.432
2013-04-04 18:30:00,131.51,133.008,131.0,132.99,1009.645
2013-04-04 19:00:00,132.99,132.99,132.8,132.8,12.25
2013-04-04 19:30:00,132.034,132.899,132.0,132.899,84.734
2013-04-04 20:00:00,130.1,131.999,128.25,130.358,1434.78
2013-04-04 21:00:00,132.001,132.001,132.001,132.001,0.612
2013-04-04 21:30:00,130.6,133.343,130.6,132.681,122.745
2013-04-04 22:00:00,132.75,133.001,132.321,133.001,203.715
2013-04-04 22:30:00,131.503,132.12,131.503,132.12,36.75
2013-04-04 23:00:00,132.351,134.485,132.351,134.485,17.148
2013-04-04 23:30:00,135.0,136.42,134.999,135.632,164.969
2013-04-05 00:00:00,136.0,137.088,135.121,135.9,961.371
2013-04-05 00:30:00,136.6,138.006,135.5,137.638,250.877
2013-04-05 01:00:00,136.874,137.403,135.119,135.5,658.76
